track_id,track_name,popularity,explicit,duration_ms,added_at,album_id
5aIVCx5tnk0ntmdiinnYvw,Water,95,False,200255,2023-12-01T05:00:00Z,22sXXkKgjEuawIFL1e1tRw
4xhsWYTOGcal8zt0J161CU,Lovin On Me,94,True,138411,2023-11-24T05:00:00Z,6VCO0fDBGbRW8mCEvV95af
3rUGC1vUpkDG9CZFHMur1t,greedy,100,True,131872,2023-11-24T05:00:00Z,3UOV8XvCwMKaATRNXrYCjN
4OMJGnvZfDvsePyCwRGO7X,Houdini,93,False,185917,2023-11-24T05:00:00Z,5pTaRVLwZOFObIbRBubmeb
7omJfT9s6V2IpQNBYyq5C8,MY HOUSE,0,True,262941,2023-12-01T05:00:00Z,1H1ivGeE2LjPjE71OITTZs
5mjYQaktjmjcMKcUIcqz4s,Strangers,97,False,172964,2023-11-24T05:00:00Z,18ogtNq9F7DmMkNYO6Xb4k
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,92,True,201800,2023-11-24T05:00:00Z,07w0rG5TETcyihsEIZR3qG
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,98,False,178426,2023-11-24T05:00:00Z,1NAmidJlEaVgA3MpcPFYGq
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,97,False,206019,2023-11-24T05:00:00Z,5pSk3c3wVwnb2arb6ohCPU
4MjDJD8cW7iVeWInc2Bdyj,MONACO,97,True,267194,2023-11-24T05:00:00Z,4FftCsAcXXD1nFO9RFUNFO
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,95,True,231750,2023-11-24T05:00:00Z,54dZypaXHAIDzBe9ujAZ63
1kuGVB7EU95pJObxwvfwKS,vampire,94,True,219724,2023-11-24T05:00:00Z,1xJHno7SmdVtZAtXbdbDZp
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),93,False,227195,2023-11-24T05:00:00Z,6PbnGueEO6LGodPfvNldYf
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,98,False,137773,2023-11-24T05:00:00Z,2Cn1d2KgbkAqbZCJ1RzdkA
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),90,False,239317,2023-11-24T05:00:00Z,2b2GHWESCWEuHiCZ2Skedp
3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),81,False,277831,2023-12-01T05:00:00Z,5q3jthpn2h59P7pe2gmAl7
7dJYggqjKo71KI9sLzqCs8,Agora Hills,93,True,265360,2023-11-24T05:00:00Z,6DmPNcfpkXBVRJsEIJY9tl
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,93,False,176579,2023-11-24T05:00:00Z,5cH7FqB7JD5q1tJXJ7FHYu
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,91,True,215466,2023-11-24T05:00:00Z,5O0zUvdnJr0RbWzLFneN2i
0HD8mbiPjp3o94X3EaZp0o,exes,88,True,159400,2023-11-24T05:00:00Z,54FpKE2Pug3xbPz26WUVSH
2Zo1PcszsT9WQ0ANntJbID,Feather,87,True,185552,2023-12-01T05:00:00Z,2g4aJTa5ejGpp0O0GKzWAQ
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),93,True,184400,2023-11-24T05:00:00Z,53985D8g3JcGBoULSOYYKX
0mflMxspEfB0VbI1kyLiAv,Stick Season,92,False,182346,2023-11-24T05:00:00Z,50ZenUP4O2Q5eCy2NRNvuz
2HafqoJbgXdtjwCOvNEF14,Si No Estás,98,False,184061,2023-11-24T05:00:00Z,66k6EGkPtYoN44anGIsEPW
17phhZDn6oGtzMe56NuWvj,Lose Control,84,False,210688,2023-11-24T05:00:00Z,7nacKlk586eLRBSIsrk9DB
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,91,False,153946,2023-11-24T05:00:00Z,1nrVofqDRs7cpWXJ49qTnP
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",94,False,222369,2023-11-24T05:00:00Z,3AafSrFIbJPH6BJHiJm1Cd
4rXLjWdF2ZZpXCVTfWcshS,fukumean,93,True,125040,2023-11-24T05:00:00Z,5qmZefgh78fN3jsyPPlvuw
5w40ZYhbBMAlHYNDaVJIUu,Chemical,87,True,184013,2023-11-24T05:00:00Z,7qcSUc5Af63mhfTF60KTEA
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),94,False,229477,2023-11-24T05:00:00Z,64LU4c1nfjz1t4VnGhagcg
17cia5k4BpGVlyEfqrFH50,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,81,False,205483,2023-11-24T05:00:00Z,2yHTMVFGHODKJOjVL1hLgk
5Eh1nj7IjV9lwpcKAkidyY,One Of Your Girls,88,False,181481,2023-11-24T05:00:00Z,5UcGyEltve5psjxSRsHx8E
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,86,False,114233,2023-12-01T05:00:00Z,1j5AROUr8rq5xb2CXDIH1c
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),91,True,247444,2023-11-24T05:00:00Z,4czdORdCWP9umpbhFXK2fW
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,91,True,211582,2023-11-24T05:00:00Z,18NOKLkZETa4sWwLMIm0UZ
1odExI7RdWc4BT515LTAwj,Daylight,94,False,212953,2023-11-24T05:00:00Z,6NcI39WPu4kY6Tul11nhSv
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",92,False,244684,2023-11-24T05:00:00Z,7tzVd1fwkxsorytCBjEJkU
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,90,False,154666,2023-11-24T05:00:00Z,5V729UqvhwNOcMejx0m55I
73RbfOTJIjHzi2pcVHjeHM,What It Is (Solo Version),86,True,189824,2023-11-24T05:00:00Z,71MqBkcflJ1Rz1SHo8XSi5
2i2gDpKKWjvnRTOZRhaPh2,Moonlight,87,False,187557,2023-11-24T05:00:00Z,1y8Yw0NDcP2qxbZufIXt7u
59NraMJsLaMCVtwXTSia8i,Prada,94,True,132359,2023-11-24T05:00:00Z,5MU0RmBSpoSxOPYBfcobDc
739WUU1tPFLO4x4HJq561K,Cupid - Twin Ver.,83,False,174253,2023-11-24T05:00:00Z,5If2zLk3mlHXuhIS7rQF90
7ABLbnD53cQK00mhcaOUVG,LALA,95,True,197920,2023-11-24T05:00:00Z,3puAvurwvtvi1rodndIPW8
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],88,True,109750,2023-11-24T05:00:00Z,5CM66hwjlbZ06LhONWXOAs
23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,89,False,231545,2023-11-24T05:00:00Z,2LVDNOUUy2g8517ZEtQIcK
7DSAEUvxU8FajXtRloy8M0,Flowers,92,False,200600,2023-11-24T05:00:00Z,5DvJgsMLbaR1HmAI6VhfcQ
0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,89,True,203894,2023-11-24T05:00:00Z,7gCggwpSuqUmVzWniLdpKR
6iF4RgIjDvDqyW13PezSj3,Single Soon,86,False,171655,2023-11-24T05:00:00Z,6EejduBuRYb7rzJaD2YCqO
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,89,False,209156,2023-11-24T05:00:00Z,6jVg0POvGYH1Pt6lISl3ok
2FDTHlrBguDzQkp7PVj16Q,Sprinter,91,True,229133,2023-11-24T05:00:00Z,5l0QlaI3wdZpE7ggoO5Rwg
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),93,True,260111,2023-12-01T04:00:00Z,4czdORdCWP9umpbhFXK2fW
