artists,track_id
3SozjO3Lat463tQICI9LcE,5aIVCx5tnk0ntmdiinnYvw
2LIk90788K0zvyj2JJVwkJ,4xhsWYTOGcal8zt0J161CU
45dkTj5sMRSjrmBSBeiHym,3rUGC1vUpkDG9CZFHMur1t
6M2wZ9GZgrQXHCFfjv46we,4OMJGnvZfDvsePyCwRGO7X
6vWDO969PvNqNYHIOW5v0m,7omJfT9s6V2IpQNBYyq5C8
7uMDnSZyUYNBPLhPMNuaM2,5mjYQaktjmjcMKcUIcqz4s
7tYKF4w9nC0nq9CsPZTHyP,4iZ4pt7kvcaH6Yo8UoZ4s2
06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr
6HaGTQPmzraVmaVxvz6EUc,2KslE17cAJNHTsI2MI0jb2
4q3ewBCX7sLwd24euuV69X,4MjDJD8cW7iVeWInc2Bdyj
5cj0lLjcoR7YOSnhnX0Po5,2IGMVunIBsBLtEQyoI1Mu7
1McMsnEElThX1knmY4oliG,1kuGVB7EU95pJObxwvfwKS
40ZNYROS4zLfyyBSs2PGe2,4KULAymBBJcPRpk1yO4dOG
70kkdajctXSbqSMJbQO424,4KULAymBBJcPRpk1yO4dOG
2uYWxilOVlUdk4oV9DvwqK,3vkCueOmm7xQDoJ17W1Pm3
46pWGuE3dSwY3bMMXGBvVS,0WtM2NBVQNNJLh6scP13H8
0C8ZW7ezQVs4URX5aX7Kqx,0WtM2NBVQNNJLh6scP13H8
06HL4z0CvFAxyc27GXpf02,3CWq0pAKKTWb0K4yiglDc4
5cj0lLjcoR7YOSnhnX0Po5,7dJYggqjKo71KI9sLzqCs8
6M2wZ9GZgrQXHCFfjv46we,1vYXt7VSjH9JIM5oRRo7vA
1Xyo4u8uXC1ZmMpatF05PJ,6WzRpISELf3YglGAh7TXcG
699OTQXzgjhIYAHMy9RyPD,6WzRpISELf3YglGAh7TXcG
6tbjWDEIzxoDsBA1FuhfPW,6WzRpISELf3YglGAh7TXcG
45dkTj5sMRSjrmBSBeiHym,0HD8mbiPjp3o94X3EaZp0o
74KM79TiuVKeVCqs8QtB0B,2Zo1PcszsT9WQ0ANntJbID
6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo
3MdXrJWsbVzdn6fe5JYkSQ,7x9aauaA9cu6tyfpHnqDLo
2RQXRUsr4IW1f3mKyKsy4B,0mflMxspEfB0VbI1kyLiAv
0jbo7KFNMiIkfBR6ih0yhm,2HafqoJbgXdtjwCOvNEF14
33qOK5uJ8AR2xuQQAhHump,17phhZDn6oGtzMe56NuWvj
7tYKF4w9nC0nq9CsPZTHyP,1Qrg8KqiBpW07V7PNxwwwL
6qqNVTkY8uBg9cP3Jd7DAH,6wf7Yu7cxBSPrRlWeSeK0Q
2hlmm7s2ICUX0LVIhVFlZQ,4rXLjWdF2ZZpXCVTfWcshS
246dkjvS1zLTtiykXe5h60,5w40ZYhbBMAlHYNDaVJIUu
06HL4z0CvFAxyc27GXpf02,1Iq8oo9XkmmvCQiGOfORiz
1McMsnEElThX1knmY4oliG,17cia5k4BpGVlyEfqrFH50
3WGpXCj9YhhfX11TToZcXP,5Eh1nj7IjV9lwpcKAkidyY
4zoRNhOhsGX3w8yBAnFSQ8,0cVyQfDyRnMJ0V3rjjdlU3
3TVXtAsR1Inumwj472S9r4,7aqfrAY2p9BUSiupwk3svU
6l3HvQ5sa6mXTsMTB19rO5,7aqfrAY2p9BUSiupwk3svU
0Y5tJX1MQlPlqiwlOH1tJY,6wsqVwoiVH2kde4k4KKAFU
33NVpKoXjItPwUJTMZIOiY,1odExI7RdWc4BT515LTAwj
1Xyo4u8uXC1ZmMpatF05PJ,7CyPwkp0oE8Ro9Dd5CUDjW
250b0Wlc5Vk0CoUsaCY84M,7CyPwkp0oE8Ro9Dd5CUDjW
1pBLC0qVRTB5zVMuteQ9jJ,7CyPwkp0oE8Ro9Dd5CUDjW
6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd
4E2rKHVDssGJm2SCDOMMJB,73RbfOTJIjHzi2pcVHjeHM
1U1el3k54VvEUzo3ybLPlM,2i2gDpKKWjvnRTOZRhaPh2
5wCmhq5J2hPwL2r0eKurxn,59NraMJsLaMCVtwXTSia8i
5KKpBU5eC2tJDzf0wmlRp2,59NraMJsLaMCVtwXTSia8i
5VadK1havLhK1OpKYsXv9y,59NraMJsLaMCVtwXTSia8i
4GJ6xDCF5jaUqD6avOuQT6,739WUU1tPFLO4x4HJq561K
7iK8PXO48WeuP03g8YR51W,7ABLbnD53cQK00mhcaOUVG
0hCNtLu0JehylgoiP8L4Gh,741UUVE2kuITl0c6zuqqbO
3LZZPxNDGDFVSIPqf4JuEf,741UUVE2kuITl0c6zuqqbO
6kBjAFKyd0he7LiA5GQ3Gz,741UUVE2kuITl0c6zuqqbO
2mLA48B366zkELXYx7hcDN,23RoR84KodL5HWvUTneQ1w
5YGY8feqx7naU7z4HrwZM6,7DSAEUvxU8FajXtRloy8M0
2tIP7SsRs7vjIcLrU85W8J,0rKWJnmo6Q0ovoPOLoLm0t
6HaGTQPmzraVmaVxvz6EUc,0rKWJnmo6Q0ovoPOLoLm0t
5H4yInM5zmHqpKIoMNAx4r,0rKWJnmo6Q0ovoPOLoLm0t
0C8ZW7ezQVs4URX5aX7Kqx,6iF4RgIjDvDqyW13PezSj3
00FQb4jTyendYWaN8pK0wa,6GGtHZgBycCgGBUhZo81xe
6Ip8FS7vWT1uKkJSweANQK,2FDTHlrBguDzQkp7PVj16Q
5H4yInM5zmHqpKIoMNAx4r,2FDTHlrBguDzQkp7PVj16Q
3TVXtAsR1Inumwj472S9r4,2YSzYUF3jWqb9YP9VXmpjE
3qiHUAX7zY4Qnjx8TNUzVx,2YSzYUF3jWqb9YP9VXmpjE
6U3ybJ9UHNKEdsH7ktGBZ7,1udwFobQ1JoOdWPQrp2b6u
1URnnhqYAYcrqrcwql10ft,1udwFobQ1JoOdWPQrp2b6u
3IJ21966TwNZI24MwZHMu4,1udwFobQ1JoOdWPQrp2b6u
6AUl0ykLLpvTktob97x9hO,5gzEL5O1ubbtIHUhLkSMTz
1URnnhqYAYcrqrcwql10ft,5gzEL5O1ubbtIHUhLkSMTz
4Ga1P7PMIsmqEZqhYZQgDo,1xWkeSPhf3bZqHY7Ncz8vp
6qxpnaukVayrQn6ViNvu9I,1c7MITQmNJTrvfbDSzWT6x
4DdkRBBYG6Yk9Ka8tdJ9BW,1c7MITQmNJTrvfbDSzWT6x
4VCriUU9CsPnUvoAsxVk1p,6iiCzEd1ULpq7nXbZVQ4pi
4DdkRBBYG6Yk9Ka8tdJ9BW,2Gk6fi0dqt91NKvlzGsmm7
0Y5tJX1MQlPlqiwlOH1tJY,2Gk6fi0dqt91NKvlzGsmm7
4W7fxKwDR9luCrOryB3GVK,7idI4LLo9LVLqrvvzhSj3n
6qxpnaukVayrQn6ViNvu9I,1nQaTUDJ7Rc4yOvZmg9Ozr
3TVXtAsR1Inumwj472S9r4,5Se32hEA9raeboZerywxka
3DbwFQlvLxRSi2uX8mf81A,351CSUM0YDA0GCbHCSKoL1
7wlFDEWiM5OoIAt8RSli8b,7bwflXK0lc225Ir1SlkptS
4Ga1P7PMIsmqEZqhYZQgDo,4367dXCt02KMgELPisJ2D4
46SHBwWsqBkxI7EeeBEQG7,4367dXCt02KMgELPisJ2D4
17lzZA2AlOHwCwFALHttmp,2jmdxJ60YfV3fVemuLz7pD
55Aa2cqylxrFIXC767Z865,2jmdxJ60YfV3fVemuLz7pD
13y7CgLHjMVRMDqxdx0Xdo,0zbGWzQkLY5wn4xyiLYEi0
0RESbWvOMyua0yuyVrztJ5,0zbGWzQkLY5wn4xyiLYEi0
0yknvLWQZxwsMjhUhwWZQ8,6ulEymrJ2Azx1uo3YHSE5w
