artist_id,artist_name,uri,followers,popularity,genres
0BCK8dKHWITYcDo06Fuxth,Jinan Laetitia,spotify:artist:0BCK8dKHWITYcDo06Fuxth,2477,22,[]
26QQ1WkFkynFLtkcTULKLP,Naomi G,spotify:artist:26QQ1WkFkynFLtkcTULKLP,178,3,[]
5rirdMf17gTWSFQI8koNSA,Homeless Scholars,spotify:artist:5rirdMf17gTWSFQI8koNSA,584,17,[]
4h1sE1sVLVe4cRO4mn8mtN,Goose 我鳥,spotify:artist:4h1sE1sVLVe4cRO4mn8mtN,2357,20,[]
0SwO7SWeDHJijQ3XNS7xEE,MGMT,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,2911238,71,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
1iQWokgeROUSPQ8L39ycdh,Ihasamic!,spotify:artist:1iQWokgeROUSPQ8L39ycdh,218,9,[]
5v4YVpkGC55ywh3z8jRSXm,Khalif Rawi,spotify:artist:5v4YVpkGC55ywh3z8jRSXm,6,4,[]
68IGPZDzdsLulAkXZ3Hk6G,kozy allways,spotify:artist:68IGPZDzdsLulAkXZ3Hk6G,5,3,[]
6PYHaynPn267y1UtD257V4,lwl.,spotify:artist:6PYHaynPn267y1UtD257V4,284,2,[]
5PfDMyKI9IR4m6RaBVvirV,Bloom.,spotify:artist:5PfDMyKI9IR4m6RaBVvirV,4,0,[]
0sMAHzxguan2KpnKFZPW2d,Sadie Jean,spotify:artist:0sMAHzxguan2KpnKFZPW2d,184979,62,"['alt z', 'singer-songwriter pop']"
41SQP16hv1TioVYqdckmxT,Real Estate,spotify:artist:41SQP16hv1TioVYqdckmxT,393452,48,"['chamber pop', 'chillwave', 'dreamo', 'experimental pop', 'indie rock', 'indietronica', 'lo-fi', 'neo-psychedelic', 'new jersey indie', 'noise pop', 'shimmer pop']"
4pfy05cNNTacuOQ6SiSu4v,Lyn Lapid,spotify:artist:4pfy05cNNTacuOQ6SiSu4v,568964,59,['gen z singer-songwriter']
2TviQllPVEQ7E68Yr4uPKR,DWLLRS,spotify:artist:2TviQllPVEQ7E68Yr4uPKR,72812,45,['chill pop']
6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,spotify:artist:6L1XC7NrmgWRlwAeLJvVtA,258168,60,"['australian pop', 'singer-songwriter pop']"
2m1l9MLSslzup4vvokKgvQ,Villagers,spotify:artist:2m1l9MLSslzup4vvokKgvQ,235841,51,"['chamber pop', 'indie folk', 'irish rock']"
0z7Yuv7DuDQ5SaVn4VSlLt,Lisa Hannigan,spotify:artist:0z7Yuv7DuDQ5SaVn4VSlLt,181716,48,"['irish rock', 'irish singer-songwriter']"
01XYiBYaoMJcNhPokrg0l0,STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,1615330,61,"['k-pop', 'k-pop girl group']"
3bwO3gNZVmHwaBttv739g7,ATBO,spotify:artist:3bwO3gNZVmHwaBttv739g7,48552,28,['k-pop boy group']
06MX3Ecb8PHyNFmq8irTWC,CSR,spotify:artist:06MX3Ecb8PHyNFmq8irTWC,65561,34,['k-pop girl group']
6xBZgSMsnKVmaAxzWEwMSD,Mike Shinoda,spotify:artist:6xBZgSMsnKVmaAxzWEwMSD,553801,55,['alternative hip hop']
7o96HO2zrujyATtVsqGhh3,Goth Babe,spotify:artist:7o96HO2zrujyATtVsqGhh3,288766,58,"['indie rock', 'pov: indie']"
4B3aifxHtpcKHuNi12lmSt,WATTS,spotify:artist:4B3aifxHtpcKHuNi12lmSt,7717,33,[]
2E70ENJNHoACgzTkJ3QnO4,Bill Ryder-Jones,spotify:artist:2E70ENJNHoACgzTkJ3QnO4,28648,32,"['liverpool indie', 'solo wave']"
3aRk4W0Y1YbyEXJT6UL2cK,good problem,spotify:artist:3aRk4W0Y1YbyEXJT6UL2cK,11202,31,[]
1VBflYyxBhnDc9uVib98rw,Icona Pop,spotify:artist:1VBflYyxBhnDc9uVib98rw,712904,63,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'swedish electropop', 'swedish synthpop']"
5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,spotify:artist:5R3Hr2cnCCjt220Jmt2xLf,1140189,61,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']"
6U1dV7aL68N7Gb0Naq34V5,REI AMI,spotify:artist:6U1dV7aL68N7Gb0Naq34V5,140331,51,['modern indie pop']
3h11MHQeCrcsUgRRijI1zL,Mark Knight,spotify:artist:3h11MHQeCrcsUgRRijI1zL,141342,54,"['house', 'progressive house', 'tech house', 'uk house']"
3cQA9WH8liZfeja1DxcDYE,Armand Van Helden,spotify:artist:3cQA9WH8liZfeja1DxcDYE,247709,60,"['big beat', 'classic house', 'deep house', 'disco house', 'filter house', 'house', 'speed garage', 'tribal house', 'uk dance', 'vocal house']"
5TvdGhdmRObqOkU6eGfXb5,Preston Pablo,spotify:artist:5TvdGhdmRObqOkU6eGfXb5,26184,59,[]
3k6TH9knHgthYJiEVDUC2s,VCHA,spotify:artist:3k6TH9knHgthYJiEVDUC2s,165808,47,[]
6BgYuNomEs12UIrnxhWE9a,TRI.BE,spotify:artist:6BgYuNomEs12UIrnxhWE9a,339093,47,['k-pop girl group']
5vGoWnZO65NBgiZYBmi3iW,KANGDANIEL,spotify:artist:5vGoWnZO65NBgiZYBmi3iW,878542,50,['k-pop']
2TYMXWSySlq8RgLAYd8MCg,Nam Woo-hyun,spotify:artist:2TYMXWSySlq8RgLAYd8MCg,43524,32,['korean singer-songwriter']
2mx5AAdmlMxMcrcd7AQh1j,Khắc Hưng,spotify:artist:2mx5AAdmlMxMcrcd7AQh1j,1252,30,[]
4crs55NFrnArSpE78rohLS,VIDI,spotify:artist:4crs55NFrnArSpE78rohLS,717227,47,"['indonesian pop', 'indonesian r&b']"
2pvCf5g7XBReiPIvcq7W18,SAAY,spotify:artist:2pvCf5g7XBReiPIvcq7W18,152171,41,['korean r&b']
5KuvNz7npsGeDJdk8QHMVH,MEENOI,spotify:artist:5KuvNz7npsGeDJdk8QHMVH,91803,46,['korean electropop']
36MQil20hjOpG5f52NQ4du,Moon Sujin,spotify:artist:36MQil20hjOpG5f52NQ4du,72640,46,['korean r&b']
5DIi2JWfQPTKffaVBlIYRn,Sik-K,spotify:artist:5DIi2JWfQPTKffaVBlIYRn,449961,53,"['k-rap', 'korean r&b']"
0OqnFLmTWiVGm3Ifk6mahQ,xooos,spotify:artist:0OqnFLmTWiVGm3Ifk6mahQ,21615,29,[]
0aMrhUHnOzfiPcMc2PGiaT,Galdive,spotify:artist:0aMrhUHnOzfiPcMc2PGiaT,45782,42,['indonesian indie']
1HzcHe0WFm4koBalCEOkVh,SIRUP,spotify:artist:1HzcHe0WFm4koBalCEOkVh,251551,49,"['japanese r&b', 'japanese soul']"
5xYvg2nZQcavaPwYOcOYRD,CODY JON,spotify:artist:5xYvg2nZQcavaPwYOcOYRD,20982,35,[]
7eYVLxvKOQ3w2BAE10ElgF,Taka Perry,spotify:artist:7eYVLxvKOQ3w2BAE10ElgF,3963,26,[]
4L9VSeE7K3BTBndqEL9A6q,Nissy,spotify:artist:4L9VSeE7K3BTBndqEL9A6q,528065,52,['j-pop']
